Date,DC_mean,A_mean,CA_mean,LC_mean,O_mean
2013-03-01,0.8015764411027568,0.04384461152882204,0.19898646616541354,0.04431503759398494,0.0
2013-05-01,0.7392205513784461,0.06188972431077692,0.21058671679197993,0.04251052631578946,0.0
2014-03-01,0.7228872180451128,0.06388972431077693,0.21471184210526317,0.09301052631578946,0.0
2014-05-01,0.6609372180451129,0.0663563909774436,0.2208330200501253,0.11374385964912279,0.0004
2014-11-01,0.5938274436090226,0.07864511278195488,0.23697537593984963,0.15252882205513782,0.0004
2015-03-01,0.5884941102756892,0.058645112781954875,0.18417537593984964,0.22506215538847116,0.0004
2015-05-01,0.5661833333333333,0.06260000000000002,0.17207512531328323,0.25953333333333334,0.0004
2015-09-01,0.5379166666666666,0.0586,0.16615000000000002,0.2587333333333333,0.0012000000000000001
2016-03-01,0.5118666666666666,0.04946666666666666,0.16135,0.33133333333333337,0.0008
2016-05-01,0.5055666666666666,0.04316666666666666,0.14965,0.3540333333333333,0.0008
2016-09-01,0.4629,0.043166666666666666,0.15605,0.3463,0.0016
2017-03-01,0.4275666666666667,0.02249999999999998,0.16055000000000003,0.4323,0.0016
2017-05-01,0.39566666666666667,0.02899999999999998,0.15435,0.46559999999999996,0.0008
2018-01-01,0.3668666666666667,0.032733333333333316,0.1506,0.45919999999999994,0.0008
2018-03-01,0.3243666666666666,0.035566666666666635,0.15489999999999998,0.5303666666666667,0.0008
2018-05-01,0.3088666666666666,0.04106666666666664,0.1529,0.5492666666666667,0.0
2018-10-01,0.31179999999999997,0.04693333333333332,0.15560000000000002,0.5004666666666666,0.0
2019-03-01,0.2826333333333333,0.040433333333333314,0.15794999999999998,0.5626333333333333,0.0
2019-05-01,0.2904333333333332,0.0425333333333333,0.15184999999999996,0.5585333333333333,0.0
2019-12-01,0.33523333333333327,0.03639999999999998,0.15924999999999997,0.47106666666666663,0.0
2020-03-01,0.4160666666666666,0.032233333333333294,0.15809999999999996,0.43456666666666666,0.0
2020-05-01,0.4219666666666666,0.039033333333333295,0.15739999999999998,0.4233666666666666,0.0005
2021-01-01,0.48729999999999996,0.0510333333333333,0.14071666666666666,0.32069999999999993,0.0005
2021-02-01,0.47230000000000005,0.13053333333333333,0.1472166666666667,0.2572,0.0005
2021-03-01,0.5301666666666667,0.14866666666666664,0.13501666666666665,0.22866666666666663,0.0005
2021-05-01,0.4998333333333333,0.15183333333333332,0.12616666666666668,0.22516666666666665,0.0005
2021-11-01,0.48913333333333336,0.2066333333333333,0.10446666666666667,0.1955666666666666,0.0008
2022-01-01,0.4584666666666667,0.2506333333333333,0.1106,0.17876666666666663,0.0008
2022-03-01,0.5571333333333333,0.17329999999999995,0.10800000000000001,0.17809999999999995,0.0008
2022-05-01,0.5039666666666667,0.16996666666666665,0.11099999999999999,0.2024333333333333,0.0008
2023-03-01,0.5503,0.1761333333333333,0.1075,0.1792666666666666,0.0008
2023-05-01,0.601,0.1363333333333333,0.1137,0.1718666666666666,0.0
2023-10-01,0.6314,0.1179333333333333,0.11610000000000001,0.1534666666666666,0.0024000000000000002
