DateTime,Temperature,MMM,dhw,Acute thermal stress,excess,nb_exces
1987-03-16,29.31099510192871,29.36600765105217,0.8936790807848328,0,0,52
1987-03-17,29.359418869018555,29.36600765105217,0.8936790807848328,0,0,52
1987-03-18,29.413381576538086,29.36600765105217,0.9004467844256782,0,1,52
1987-03-19,29.45685577392578,29.36600765105217,0.9134250876933372,0,1,52
1987-03-20,29.474328994750977,29.36600765105217,0.9288995653645955,0,1,52
1987-03-21,29.46875,29.36600765105217,0.9435770437857143,0,1,52
1987-03-22,29.455421447753906,29.36600765105217,0.956350443314534,0,1,52
1987-03-23,29.450590133666992,29.36600765105217,0.9684336551166517,0,1,52
1987-03-24,29.470975875854492,29.36600765105217,0.983429115802698,0,1,52
1987-03-25,29.5238094329834,29.36600765105217,1.0059722275071594,0,1,52
1987-03-26,29.589262008666992,29.36600765105217,1.03786570716642,0,1,52
