DateTime,DC_mean,dhw,thermal_stress_category_plage,MMM,der_DC_mean,pdo
2020-05-01,0.4219666666666666,0.385714285714282,0,29.6,0.005900000000000016,-0.53
2021-01-01,0.4872999999999999,0.0,0,29.6,0.0653333333333333,-0.61
2021-02-01,0.4723,0.0,0,29.6,-0.014999999999999902,-1.09
2021-03-01,0.5301666666666667,0.0,0,29.6,0.05786666666666668,-1.68
2021-05-01,0.4998333333333333,0.0069124423963136,0,29.05161290322581,-0.03033333333333338,-2.01
2021-11-01,0.4891333333333333,0.0069124423963136,0,29.05161290322581,-0.010699999999999987,-2.75
2022-01-01,0.4584666666666667,0.0,0,29.05161290322581,-0.03066666666666662,-2.4
2022-03-01,0.5571333333333333,0.0,0,28.91,0.09866666666666657,-1.67
2022-05-01,0.5039666666666667,0.3457142857142855,0,28.73,-0.053166666666666584,-2.25
2023-03-01,0.5503,0.4161224489795927,0,29.14516129032258,0.04633333333333334,-2.45
